unit_id,host_unit_id,provenance,confidence
ccs_amine,kiln_dry_coal,"[CARB3_LINEAGE] comit_technology_lineage.csv: this train's COMIT bundle is a dry-kiln-plus-capture row (ICMKLNMNQ01, ""Dry kiln with natural gas CHP and MEA CCS""). The kiln half of that bundle is ICMKLND01 ""Dry kiln, best available technology (BAT)"", which D13 fanned out to kiln_dry_coal;kiln_dry_gas;kiln_dry_wdf;kiln_dry_oil, so all four are hosts. kiln_calcium_looping_coal is excluded: ICMKLNCLQ01 is integrated capture and unit.csv keeps it a converter, so a bolt-on train on it would double-count. kiln_fluidbed_wdf is excluded: ICMKLNWST02 is a different device, not the dry kiln the bundle names",high
ccs_amine,kiln_dry_gas,"[CARB3_LINEAGE] comit_technology_lineage.csv: this train's COMIT bundle is a dry-kiln-plus-capture row (ICMKLNMNQ01, ""Dry kiln with natural gas CHP and MEA CCS""). The kiln half of that bundle is ICMKLND01 ""Dry kiln, best available technology (BAT)"", which D13 fanned out to kiln_dry_coal;kiln_dry_gas;kiln_dry_wdf;kiln_dry_oil, so all four are hosts. kiln_calcium_looping_coal is excluded: ICMKLNCLQ01 is integrated capture and unit.csv keeps it a converter, so a bolt-on train on it would double-count. kiln_fluidbed_wdf is excluded: ICMKLNWST02 is a different device, not the dry kiln the bundle names",high
ccs_amine,kiln_dry_wdf,"[CARB3_LINEAGE] comit_technology_lineage.csv: this train's COMIT bundle is a dry-kiln-plus-capture row (ICMKLNMNQ01, ""Dry kiln with natural gas CHP and MEA CCS""). The kiln half of that bundle is ICMKLND01 ""Dry kiln, best available technology (BAT)"", which D13 fanned out to kiln_dry_coal;kiln_dry_gas;kiln_dry_wdf;kiln_dry_oil, so all four are hosts. kiln_calcium_looping_coal is excluded: ICMKLNCLQ01 is integrated capture and unit.csv keeps it a converter, so a bolt-on train on it would double-count. kiln_fluidbed_wdf is excluded: ICMKLNWST02 is a different device, not the dry kiln the bundle names",high
ccs_amine,kiln_dry_oil,"[CARB3_LINEAGE] comit_technology_lineage.csv: this train's COMIT bundle is a dry-kiln-plus-capture row (ICMKLNMNQ01, ""Dry kiln with natural gas CHP and MEA CCS""). The kiln half of that bundle is ICMKLND01 ""Dry kiln, best available technology (BAT)"", which D13 fanned out to kiln_dry_coal;kiln_dry_gas;kiln_dry_wdf;kiln_dry_oil, so all four are hosts. kiln_calcium_looping_coal is excluded: ICMKLNCLQ01 is integrated capture and unit.csv keeps it a converter, so a bolt-on train on it would double-count. kiln_fluidbed_wdf is excluded: ICMKLNWST02 is a different device, not the dry kiln the bundle names",high
ccs_amine_mdea,kiln_dry_coal,"[CARB3_LINEAGE] comit_technology_lineage.csv: this train's COMIT bundle is a dry-kiln-plus-capture row (ICMKLNMAQ02, ""Advanced Amine (MDEA) - BAT KILN (Cormos 2017) (CCS)""). The kiln half of that bundle is ICMKLND01 ""Dry kiln, best available technology (BAT)"", which D13 fanned out to kiln_dry_coal;kiln_dry_gas;kiln_dry_wdf;kiln_dry_oil, so all four are hosts. kiln_calcium_looping_coal is excluded: ICMKLNCLQ01 is integrated capture and unit.csv keeps it a converter, so a bolt-on train on it would double-count. kiln_fluidbed_wdf is excluded: ICMKLNWST02 is a different device, not the dry kiln the bundle names",high
ccs_amine_mdea,kiln_dry_gas,"[CARB3_LINEAGE] comit_technology_lineage.csv: this train's COMIT bundle is a dry-kiln-plus-capture row (ICMKLNMAQ02, ""Advanced Amine (MDEA) - BAT KILN (Cormos 2017) (CCS)""). The kiln half of that bundle is ICMKLND01 ""Dry kiln, best available technology (BAT)"", which D13 fanned out to kiln_dry_coal;kiln_dry_gas;kiln_dry_wdf;kiln_dry_oil, so all four are hosts. kiln_calcium_looping_coal is excluded: ICMKLNCLQ01 is integrated capture and unit.csv keeps it a converter, so a bolt-on train on it would double-count. kiln_fluidbed_wdf is excluded: ICMKLNWST02 is a different device, not the dry kiln the bundle names",high
ccs_amine_mdea,kiln_dry_wdf,"[CARB3_LINEAGE] comit_technology_lineage.csv: this train's COMIT bundle is a dry-kiln-plus-capture row (ICMKLNMAQ02, ""Advanced Amine (MDEA) - BAT KILN (Cormos 2017) (CCS)""). The kiln half of that bundle is ICMKLND01 ""Dry kiln, best available technology (BAT)"", which D13 fanned out to kiln_dry_coal;kiln_dry_gas;kiln_dry_wdf;kiln_dry_oil, so all four are hosts. kiln_calcium_looping_coal is excluded: ICMKLNCLQ01 is integrated capture and unit.csv keeps it a converter, so a bolt-on train on it would double-count. kiln_fluidbed_wdf is excluded: ICMKLNWST02 is a different device, not the dry kiln the bundle names",high
ccs_amine_mdea,kiln_dry_oil,"[CARB3_LINEAGE] comit_technology_lineage.csv: this train's COMIT bundle is a dry-kiln-plus-capture row (ICMKLNMAQ02, ""Advanced Amine (MDEA) - BAT KILN (Cormos 2017) (CCS)""). The kiln half of that bundle is ICMKLND01 ""Dry kiln, best available technology (BAT)"", which D13 fanned out to kiln_dry_coal;kiln_dry_gas;kiln_dry_wdf;kiln_dry_oil, so all four are hosts. kiln_calcium_looping_coal is excluded: ICMKLNCLQ01 is integrated capture and unit.csv keeps it a converter, so a bolt-on train on it would double-count. kiln_fluidbed_wdf is excluded: ICMKLNWST02 is a different device, not the dry kiln the bundle names",high
ccs_amine_coal_chp,kiln_dry_coal,"[CARB3_LINEAGE] comit_technology_lineage.csv: this train's COMIT bundle is a dry-kiln-plus-capture row (ICMKLNMCQ01, ""Dry kiln with coal CHP and MEA CCS""). The kiln half of that bundle is ICMKLND01 ""Dry kiln, best available technology (BAT)"", which D13 fanned out to kiln_dry_coal;kiln_dry_gas;kiln_dry_wdf;kiln_dry_oil, so all four are hosts. kiln_calcium_looping_coal is excluded: ICMKLNCLQ01 is integrated capture and unit.csv keeps it a converter, so a bolt-on train on it would double-count. kiln_fluidbed_wdf is excluded: ICMKLNWST02 is a different device, not the dry kiln the bundle names",high
ccs_amine_coal_chp,kiln_dry_gas,"[CARB3_LINEAGE] comit_technology_lineage.csv: this train's COMIT bundle is a dry-kiln-plus-capture row (ICMKLNMCQ01, ""Dry kiln with coal CHP and MEA CCS""). The kiln half of that bundle is ICMKLND01 ""Dry kiln, best available technology (BAT)"", which D13 fanned out to kiln_dry_coal;kiln_dry_gas;kiln_dry_wdf;kiln_dry_oil, so all four are hosts. kiln_calcium_looping_coal is excluded: ICMKLNCLQ01 is integrated capture and unit.csv keeps it a converter, so a bolt-on train on it would double-count. kiln_fluidbed_wdf is excluded: ICMKLNWST02 is a different device, not the dry kiln the bundle names",high
